DNIPRO,NOMPRO,APEPRO,TELPRO,DIRPRO,MAILPRO
"12345678","Propetario Nombre 1","Propetario Apellido 1","123456789","Direccion Pro 1","pro.mail1@correo.com"
"22345678","Propetario Nombre 2","Propetario Apellido 2","223456789","Direccion Pro 2","pro.mail2@correo.com"
"32345678","Propetario Nombre 3","Propetario Apellido 3","323456789","Direccion Pro 3","pro.mail3@correo.com"
"42345678","Propetario Nombre 4","Propetario Apellido 4","423456789","Direccion Pro 4","pro.mail4@correo.com"
"52345678","Propetario Nombre 5","Propetario Apellido 5","523456789","Direccion Pro 5","pro.mail5@correo.com"
"62345678","Propetario Nombre 6","Propetario Apellido 6","623456789","Direccion Pro 6","pro.mail6@correo.com"
"72345678","Propetario Nombre 7","Propetario Apellido 7","723456789","Direccion Pro 7","pro.mail7@correo.com"
"82345678","Propetario Nombre 8","Propetario Apellido 8","823456789","Direccion Pro 8","pro.mail8@correo.com"
"92345678","Propetario Nombre 9","Propetario Apellido 9","923456789","Direccion Pro 9","pro.mail9@correo.com"
"99345678","Propetario Nombre 10","Propetario Apellido 10","553456789","Direccion Pro 10","pro.mail10@correo.com"
